id,products,total,discountedTotal,userId,totalProducts,totalQuantity
54,"[{'id': 12, 'title': 'Annibale Colombo Sofa', 'price': 2499.99, 'quantity': 2, 'total': 4999.98, 'discountPercentage': 14.4, 'discountedTotal': 4279.98, 'thumbnail': 'https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp'}, {'id': 78, 'title': 'Apple MacBook Pro 14 Inch Space Grey', 'price': 1999.99, 'quantity': 3, 'total': 5999.97, 'discountPercentage': 4.69, 'discountedTotal': 5718.57, 'thumbnail': 'https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/thumbnail.webp'}]",10999.95,9998.55,54,2,5
55,"[{'id': 49, 'title': 'Black Aluminium Cup', 'price': 5.99, 'quantity': 3, 'total': 17.97, 'discountPercentage': 15.65, 'discountedTotal': 15.16, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/thumbnail.webp'}, {'id': 84, 'title': 'Gigabyte Aorus Men Tshirt', 'price': 24.99, 'quantity': 1, 'total': 24.99, 'discountPercentage': 0.94, 'discountedTotal': 24.76, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/thumbnail.webp'}]",42.96,39.92,55,2,4
56,"[{'id': 60, 'title': 'Grater Black', 'price': 10.99, 'quantity': 2, 'total': 21.98, 'discountPercentage': 3.56, 'discountedTotal': 21.2, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/grater-black/thumbnail.webp'}, {'id': 99, 'title': 'Amazon Echo Plus', 'price': 99.99, 'quantity': 1, 'total': 99.99, 'discountPercentage': 12.07, 'discountedTotal': 87.92, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/amazon-echo-plus/thumbnail.webp'}]",121.97,109.12,56,2,3
57,"[{'id': 88, 'title': 'Nike Air Jordan 1 Red And Black', 'price': 149.99, 'quantity': 5, 'total': 749.95, 'discountPercentage': 4.12, 'discountedTotal': 719.05, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/thumbnail.webp'}, {'id': 100, 'title': 'Apple Airpods', 'price': 129.99, 'quantity': 4, 'total': 519.96, 'discountPercentage': 15.54, 'discountedTotal': 439.16, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods/thumbnail.webp'}]",1269.91,1158.21,57,2,9
58,"[{'id': 174, 'title': 'Prada Women Bag', 'price': 599.99, 'quantity': 2, 'total': 1199.98, 'discountPercentage': 14.09, 'discountedTotal': 1030.9, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-bags/prada-women-bag/thumbnail.webp'}, {'id': 142, 'title': 'Cricket Ball', 'price': 12.99, 'quantity': 1, 'total': 12.99, 'discountPercentage': 8.63, 'discountedTotal': 11.87, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/cricket-ball/thumbnail.webp'}]",1212.97,1042.77,58,2,3
59,"[{'id': 170, 'title': 'Durango SXT RWD', 'price': 36999.99, 'quantity': 2, 'total': 73999.98, 'discountPercentage': 16.44, 'discountedTotal': 61834.38, 'thumbnail': 'https://cdn.dummyjson.com/product-images/vehicle/durango-sxt-rwd/thumbnail.webp'}, {'id': 145, 'title': 'Cricket Wicket', 'price': 29.99, 'quantity': 1, 'total': 29.99, 'discountPercentage': 16.93, 'discountedTotal': 24.91, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/cricket-wicket/thumbnail.webp'}]",74029.97,61859.29,59,2,3
60,"[{'id': 82, 'title': 'New DELL XPS 13 9300 Laptop', 'price': 1499.99, 'quantity': 5, 'total': 7499.95, 'discountPercentage': 11.89, 'discountedTotal': 6608.21, 'thumbnail': 'https://cdn.dummyjson.com/product-images/laptops/new-dell-xps-13-9300-laptop/thumbnail.webp'}, {'id': 149, 'title': 'Iron Golf', 'price': 49.99, 'quantity': 3, 'total': 149.97, 'discountPercentage': 6.53, 'discountedTotal': 140.18, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/iron-golf/thumbnail.webp'}]",7649.92,6748.39,60,2,8
61,"[{'id': 66, 'title': 'Microwave Oven', 'price': 89.99, 'quantity': 4, 'total': 359.96, 'discountPercentage': 12.13, 'discountedTotal': 316.3, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/thumbnail.webp'}, {'id': 119, 'title': 'Olay Ultra Moisture Shea Butter Body Wash', 'price': 12.99, 'quantity': 4, 'total': 51.96, 'discountPercentage': 16.39, 'discountedTotal': 43.44, 'thumbnail': 'https://cdn.dummyjson.com/product-images/skin-care/olay-ultra-moisture-shea-butter-body-wash/thumbnail.webp'}, {'id': 107, 'title': 'Beats Flex Wireless Earphones', 'price': 49.99, 'quantity': 3, 'total': 149.97, 'discountPercentage': 5.73, 'discountedTotal': 141.38, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/beats-flex-wireless-earphones/thumbnail.webp'}, {'id': 166, 'title': 'Tartan Dress', 'price': 39.99, 'quantity': 2, 'total': 79.98, 'discountPercentage': 12.95, 'discountedTotal': 69.62, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tops/tartan-dress/thumbnail.webp'}, {'id': 42, 'title': 'Water', 'price': 0.99, 'quantity': 1, 'total': 0.99, 'discountPercentage': 14.92, 'discountedTotal': 0.84, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/water/thumbnail.webp'}]",642.86,571.58,61,5,14
62,"[{'id': 133, 'title': 'Samsung Galaxy S10', 'price': 699.99, 'quantity': 4, 'total': 2799.96, 'discountPercentage': 5.59, 'discountedTotal': 2643.44, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s10/thumbnail.webp'}, {'id': 53, 'title': 'Chopping Board', 'price': 12.99, 'quantity': 4, 'total': 51.96, 'discountPercentage': 8.03, 'discountedTotal': 47.79, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/thumbnail.webp'}]",2851.92,2691.23,62,2,8
63,"[{'id': 153, 'title': 'Volleyball', 'price': 11.99, 'quantity': 1, 'total': 11.99, 'discountPercentage': 12.25, 'discountedTotal': 10.52, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/volleyball/thumbnail.webp'}, {'id': 179, 'title': 'Corset With Black Skirt', 'price': 79.99, 'quantity': 2, 'total': 159.98, 'discountPercentage': 15.06, 'discountedTotal': 135.89, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-dresses/corset-with-black-skirt/thumbnail.webp'}, {'id': 129, 'title': 'Realme X', 'price': 299.99, 'quantity': 1, 'total': 299.99, 'discountPercentage': 6.95, 'discountedTotal': 279.14, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/realme-x/thumbnail.webp'}, {'id': 19, 'title': 'Chicken Meat', 'price': 9.99, 'quantity': 4, 'total': 39.96, 'discountPercentage': 13.7, 'discountedTotal': 34.49, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/chicken-meat/thumbnail.webp'}]",511.92,460.04,63,4,8
64,"[{'id': 79, 'title': 'Asus Zenbook Pro Dual Screen Laptop', 'price': 1799.99, 'quantity': 3, 'total': 5399.97, 'discountPercentage': 11.14, 'discountedTotal': 4798.41, 'thumbnail': 'https://cdn.dummyjson.com/product-images/laptops/asus-zenbook-pro-dual-screen-laptop/thumbnail.webp'}, {'id': 21, 'title': 'Cucumber', 'price': 1.49, 'quantity': 2, 'total': 2.98, 'discountPercentage': 0.16, 'discountedTotal': 2.98, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp'}, {'id': 73, 'title': 'Spice Rack', 'price': 19.99, 'quantity': 4, 'total': 79.96, 'discountPercentage': 12.09, 'discountedTotal': 70.29, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/spice-rack/thumbnail.webp'}, {'id': 9, 'title': 'Dolce Shine Eau de', 'price': 69.99, 'quantity': 5, 'total': 349.95, 'discountPercentage': 0.62, 'discountedTotal': 347.78, 'thumbnail': 'https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp'}, {'id': 175, 'title': 'White Faux Leather Backpack', 'price': 39.99, 'quantity': 5, 'total': 199.95000000000002, 'discountPercentage': 15.2, 'discountedTotal': 169.56, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-bags/white-faux-leather-backpack/thumbnail.webp'}]",6032.81,5389.02,64,5,19
65,"[{'id': 130, 'title': 'Realme XT', 'price': 349.99, 'quantity': 4, 'total': 1399.96, 'discountPercentage': 11.51, 'discountedTotal': 1238.82, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/realme-xt/thumbnail.webp'}, {'id': 93, 'title': 'Brown Leather Belt Watch', 'price': 89.99, 'quantity': 1, 'total': 89.99, 'discountPercentage': 5.99, 'discountedTotal': 84.6, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-watches/brown-leather-belt-watch/thumbnail.webp'}, {'id': 175, 'title': 'White Faux Leather Backpack', 'price': 39.99, 'quantity': 5, 'total': 199.95000000000002, 'discountPercentage': 15.2, 'discountedTotal': 169.56, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-bags/white-faux-leather-backpack/thumbnail.webp'}, {'id': 87, 'title': 'Men Check Shirt', 'price': 27.99, 'quantity': 1, 'total': 27.99, 'discountPercentage': 11.38, 'discountedTotal': 24.8, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/thumbnail.webp'}]",1717.89,1517.78,65,4,11
66,"[{'id': 193, 'title': 'Watch Gold for Women', 'price': 799.99, 'quantity': 2, 'total': 1599.98, 'discountPercentage': 18.34, 'discountedTotal': 1306.54, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-watches/watch-gold-for-women/thumbnail.webp'}, {'id': 160, 'title': 'Samsung Galaxy Tab S8 Plus Grey', 'price': 599.99, 'quantity': 1, 'total': 599.99, 'discountPercentage': 13.31, 'discountedTotal': 520.13, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-s8-plus-grey/thumbnail.webp'}, {'id': 37, 'title': 'Red Onions', 'price': 1.99, 'quantity': 3, 'total': 5.97, 'discountPercentage': 9.9, 'discountedTotal': 5.38, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/red-onions/thumbnail.webp'}, {'id': 178, 'title': 'Corset Leather With Skirt', 'price': 89.99, 'quantity': 1, 'total': 89.99, 'discountPercentage': 16.26, 'discountedTotal': 75.36, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-dresses/corset-leather-with-skirt/thumbnail.webp'}]",2295.93,1907.41,66,4,7
67,"[{'id': 135, 'title': 'Vivo V9', 'price': 299.99, 'quantity': 1, 'total': 299.99, 'discountPercentage': 17.67, 'discountedTotal': 246.98, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/vivo-v9/thumbnail.webp'}, {'id': 9, 'title': 'Dolce Shine Eau de', 'price': 69.99, 'quantity': 2, 'total': 139.98, 'discountPercentage': 0.62, 'discountedTotal': 139.11, 'thumbnail': 'https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp'}, {'id': 29, 'title': 'Juice', 'price': 3.99, 'quantity': 1, 'total': 3.99, 'discountPercentage': 12.06, 'discountedTotal': 3.51, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/juice/thumbnail.webp'}]",443.96,389.6,67,3,4
68,"[{'id': 65, 'title': 'Lunch Box', 'price': 12.99, 'quantity': 2, 'total': 25.98, 'discountPercentage': 10.34, 'discountedTotal': 23.29, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/thumbnail.webp'}, {'id': 164, 'title': 'Gray Dress', 'price': 34.99, 'quantity': 5, 'total': 174.95000000000002, 'discountPercentage': 14.28, 'discountedTotal': 149.97, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tops/gray-dress/thumbnail.webp'}, {'id': 53, 'title': 'Chopping Board', 'price': 12.99, 'quantity': 4, 'total': 51.96, 'discountPercentage': 8.03, 'discountedTotal': 47.79, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/thumbnail.webp'}]",252.89,221.05,68,3,11
69,"[{'id': 28, 'title': 'Ice Cream', 'price': 5.49, 'quantity': 2, 'total': 10.98, 'discountPercentage': 8.69, 'discountedTotal': 10.03, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp'}, {'id': 190, 'title': 'IWC Ingenieur Automatic Steel', 'price': 4999.99, 'quantity': 1, 'total': 4999.99, 'discountPercentage': 9.45, 'discountedTotal': 4527.49, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-watches/iwc-ingenieur-automatic-steel/thumbnail.webp'}, {'id': 183, 'title': 'Green Oval Earring', 'price': 24.99, 'quantity': 3, 'total': 74.97, 'discountPercentage': 15.18, 'discountedTotal': 63.59, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-jewellery/green-oval-earring/thumbnail.webp'}, {'id': 122, 'title': 'iPhone 6', 'price': 299.99, 'quantity': 2, 'total': 599.98, 'discountPercentage': 6.69, 'discountedTotal': 559.84, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/iphone-6/thumbnail.webp'}, {'id': 122, 'title': 'iPhone 6', 'price': 299.99, 'quantity': 5, 'total': 1499.95, 'discountPercentage': 6.69, 'discountedTotal': 1399.6, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/iphone-6/thumbnail.webp'}]",7185.87,6560.55,69,5,13
70,"[{'id': 161, 'title': 'Samsung Galaxy Tab White', 'price': 349.99, 'quantity': 5, 'total': 1749.95, 'discountPercentage': 18.2, 'discountedTotal': 1431.46, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/thumbnail.webp'}, {'id': 112, 'title': 'TV Studio Camera Pedestal', 'price': 499.99, 'quantity': 3, 'total': 1499.97, 'discountPercentage': 8.31, 'discountedTotal': 1375.32, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/tv-studio-camera-pedestal/thumbnail.webp'}, {'id': 130, 'title': 'Realme XT', 'price': 349.99, 'quantity': 1, 'total': 349.99, 'discountPercentage': 11.51, 'discountedTotal': 309.71, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/realme-xt/thumbnail.webp'}, {'id': 149, 'title': 'Iron Golf', 'price': 49.99, 'quantity': 3, 'total': 149.97, 'discountPercentage': 6.53, 'discountedTotal': 140.18, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/iron-golf/thumbnail.webp'}, {'id': 72, 'title': 'Slotted Turner', 'price': 8.99, 'quantity': 5, 'total': 44.95, 'discountPercentage': 13.35, 'discountedTotal': 38.95, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/slotted-turner/thumbnail.webp'}]",3794.83,3295.62,70,5,17
71,"[{'id': 133, 'title': 'Samsung Galaxy S10', 'price': 699.99, 'quantity': 4, 'total': 2799.96, 'discountPercentage': 5.59, 'discountedTotal': 2643.44, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s10/thumbnail.webp'}, {'id': 180, 'title': 'Dress Pea', 'price': 49.99, 'quantity': 2, 'total': 99.98, 'discountPercentage': 17.68, 'discountedTotal': 82.3, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-dresses/dress-pea/thumbnail.webp'}, {'id': 23, 'title': 'Eggs', 'price': 2.99, 'quantity': 2, 'total': 5.98, 'discountPercentage': 11.05, 'discountedTotal': 5.32, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp'}, {'id': 115, 'title': 'MotoGP CI.H1', 'price': 14999.99, 'quantity': 5, 'total': 74999.95, 'discountPercentage': 6.92, 'discountedTotal': 69809.95, 'thumbnail': 'https://cdn.dummyjson.com/product-images/motorcycle/motogp-ci.h1/thumbnail.webp'}]",77905.87,72541.01,71,4,13
72,"[{'id': 141, 'title': 'Basketball Rim', 'price': 39.99, 'quantity': 4, 'total': 159.96, 'discountPercentage': 7.74, 'discountedTotal': 147.58, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/basketball-rim/thumbnail.webp'}, {'id': 46, 'title': 'Plant Pot', 'price': 14.99, 'quantity': 5, 'total': 74.95, 'discountPercentage': 6.84, 'discountedTotal': 69.82, 'thumbnail': 'https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/thumbnail.webp'}, {'id': 61, 'title': 'Hand Blender', 'price': 34.99, 'quantity': 2, 'total': 69.98, 'discountPercentage': 17.02, 'discountedTotal': 58.07, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/thumbnail.webp'}, {'id': 38, 'title': 'Rice', 'price': 5.99, 'quantity': 3, 'total': 17.97, 'discountPercentage': 9.29, 'discountedTotal': 16.3, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/rice/thumbnail.webp'}]",322.86,291.77,72,4,14
73,"[{'id': 79, 'title': 'Asus Zenbook Pro Dual Screen Laptop', 'price': 1799.99, 'quantity': 3, 'total': 5399.97, 'discountPercentage': 11.14, 'discountedTotal': 4798.41, 'thumbnail': 'https://cdn.dummyjson.com/product-images/laptops/asus-zenbook-pro-dual-screen-laptop/thumbnail.webp'}, {'id': 111, 'title': 'Selfie Stick Monopod', 'price': 12.99, 'quantity': 2, 'total': 25.98, 'discountPercentage': 19.12, 'discountedTotal': 21.01, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-stick-monopod/thumbnail.webp'}, {'id': 63, 'title': 'Kitchen Sieve', 'price': 7.99, 'quantity': 4, 'total': 31.96, 'discountPercentage': 18.91, 'discountedTotal': 25.92, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/kitchen-sieve/thumbnail.webp'}, {'id': 120, 'title': 'Vaseline Men Body and Face Lotion', 'price': 9.99, 'quantity': 5, 'total': 49.95, 'discountPercentage': 13.39, 'discountedTotal': 43.26, 'thumbnail': 'https://cdn.dummyjson.com/product-images/skin-care/vaseline-men-body-and-face-lotion/thumbnail.webp'}, {'id': 129, 'title': 'Realme X', 'price': 299.99, 'quantity': 1, 'total': 299.99, 'discountPercentage': 6.95, 'discountedTotal': 279.14, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/realme-x/thumbnail.webp'}, {'id': 191, 'title': 'Rolex Cellini Moonphase', 'price': 15999.99, 'quantity': 1, 'total': 15999.99, 'discountPercentage': 4.11, 'discountedTotal': 15342.39, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-watches/rolex-cellini-moonphase/thumbnail.webp'}]",21807.84,20510.13,73,6,16
74,"[{'id': 105, 'title': 'Apple MagSafe Battery Pack', 'price': 99.99, 'quantity': 1, 'total': 99.99, 'discountPercentage': 17.17, 'discountedTotal': 82.82, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-magsafe-battery-pack/thumbnail.webp'}, {'id': 130, 'title': 'Realme XT', 'price': 349.99, 'quantity': 4, 'total': 1399.96, 'discountPercentage': 11.51, 'discountedTotal': 1238.82, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/realme-xt/thumbnail.webp'}, {'id': 41, 'title': 'Tissue Paper Box', 'price': 2.49, 'quantity': 1, 'total': 2.49, 'discountPercentage': 13.28, 'discountedTotal': 2.16, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/thumbnail.webp'}, {'id': 36, 'title': 'Protein Powder', 'price': 19.99, 'quantity': 3, 'total': 59.97, 'discountPercentage': 7.59, 'discountedTotal': 55.42, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/protein-powder/thumbnail.webp'}]",1562.41,1379.22,74,4,9
75,"[{'id': 41, 'title': 'Tissue Paper Box', 'price': 2.49, 'quantity': 1, 'total': 2.49, 'discountPercentage': 13.28, 'discountedTotal': 2.16, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/thumbnail.webp'}, {'id': 127, 'title': 'Oppo K1', 'price': 299.99, 'quantity': 1, 'total': 299.99, 'discountPercentage': 18.29, 'discountedTotal': 245.12, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/thumbnail.webp'}, {'id': 73, 'title': 'Spice Rack', 'price': 19.99, 'quantity': 2, 'total': 39.98, 'discountPercentage': 12.09, 'discountedTotal': 35.15, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/spice-rack/thumbnail.webp'}, {'id': 37, 'title': 'Red Onions', 'price': 1.99, 'quantity': 2, 'total': 3.98, 'discountPercentage': 9.9, 'discountedTotal': 3.59, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/red-onions/thumbnail.webp'}]",346.44,286.02,75,4,6
76,"[{'id': 108, 'title': 'iPhone 12 Silicone Case with MagSafe Plum', 'price': 29.99, 'quantity': 3, 'total': 89.97, 'discountPercentage': 13.85, 'discountedTotal': 77.51, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/iphone-12-silicone-case-with-magsafe-plum/thumbnail.webp'}, {'id': 78, 'title': 'Apple MacBook Pro 14 Inch Space Grey', 'price': 1999.99, 'quantity': 4, 'total': 7999.96, 'discountPercentage': 4.69, 'discountedTotal': 7624.76, 'thumbnail': 'https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/thumbnail.webp'}, {'id': 167, 'title': '300 Touring', 'price': 28999.99, 'quantity': 1, 'total': 28999.99, 'discountPercentage': 3.98, 'discountedTotal': 27845.79, 'thumbnail': 'https://cdn.dummyjson.com/product-images/vehicle/300-touring/thumbnail.webp'}, {'id': 177, 'title': ""Black Women's Gown"", 'price': 129.99, 'quantity': 3, 'total': 389.97, 'discountPercentage': 10.48, 'discountedTotal': 349.1, 'thumbnail': ""https://cdn.dummyjson.com/product-images/womens-dresses/black-women's-gown/thumbnail.webp""}, {'id': 152, 'title': 'Tennis Racket', 'price': 49.99, 'quantity': 3, 'total': 149.97, 'discountPercentage': 19.61, 'discountedTotal': 120.56, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/tennis-racket/thumbnail.webp'}]",37629.86,36017.72,76,5,14
77,"[{'id': 106, 'title': 'Apple Watch Series 4 Gold', 'price': 349.99, 'quantity': 2, 'total': 699.98, 'discountPercentage': 12.02, 'discountedTotal': 615.84, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-watch-series-4-gold/thumbnail.webp'}, {'id': 178, 'title': 'Corset Leather With Skirt', 'price': 89.99, 'quantity': 2, 'total': 179.98, 'discountPercentage': 16.26, 'discountedTotal': 150.72, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-dresses/corset-leather-with-skirt/thumbnail.webp'}, {'id': 91, 'title': 'Sports Sneakers Off White & Red', 'price': 119.99, 'quantity': 1, 'total': 119.99, 'discountPercentage': 4.97, 'discountedTotal': 114.03, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/thumbnail.webp'}]",999.95,880.59,77,3,5
78,"[{'id': 171, 'title': 'Pacifica Touring', 'price': 31999.99, 'quantity': 4, 'total': 127999.96, 'discountPercentage': 14.76, 'discountedTotal': 109107.17, 'thumbnail': 'https://cdn.dummyjson.com/product-images/vehicle/pacifica-touring/thumbnail.webp'}, {'id': 120, 'title': 'Vaseline Men Body and Face Lotion', 'price': 9.99, 'quantity': 3, 'total': 29.97, 'discountPercentage': 13.39, 'discountedTotal': 25.96, 'thumbnail': 'https://cdn.dummyjson.com/product-images/skin-care/vaseline-men-body-and-face-lotion/thumbnail.webp'}, {'id': 181, 'title': 'Marni Red & Black Suit', 'price': 179.99, 'quantity': 5, 'total': 899.95, 'discountPercentage': 19.02, 'discountedTotal': 728.78, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-dresses/marni-red-&-black-suit/thumbnail.webp'}, {'id': 85, 'title': 'Man Plaid Shirt', 'price': 34.99, 'quantity': 1, 'total': 34.99, 'discountPercentage': 19.5, 'discountedTotal': 28.17, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/thumbnail.webp'}]",128964.87,109890.08,78,4,13
79,"[{'id': 18, 'title': 'Cat Food', 'price': 8.99, 'quantity': 3, 'total': 26.97, 'discountPercentage': 9.58, 'discountedTotal': 24.39, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp'}, {'id': 84, 'title': 'Gigabyte Aorus Men Tshirt', 'price': 24.99, 'quantity': 3, 'total': 74.97, 'discountPercentage': 0.94, 'discountedTotal': 74.27, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/thumbnail.webp'}, {'id': 193, 'title': 'Watch Gold for Women', 'price': 799.99, 'quantity': 1, 'total': 799.99, 'discountPercentage': 18.34, 'discountedTotal': 653.27, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-watches/watch-gold-for-women/thumbnail.webp'}, {'id': 174, 'title': 'Prada Women Bag', 'price': 599.99, 'quantity': 1, 'total': 599.99, 'discountPercentage': 14.09, 'discountedTotal': 515.45, 'thumbnail': 'https://cdn.dummyjson.com/product-images/womens-bags/prada-women-bag/thumbnail.webp'}, {'id': 147, 'title': 'Football', 'price': 17.99, 'quantity': 3, 'total': 53.97, 'discountPercentage': 5.15, 'discountedTotal': 51.19, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/football/thumbnail.webp'}, {'id': 50, 'title': 'Black Whisk', 'price': 9.99, 'quantity': 2, 'total': 19.98, 'discountPercentage': 10.24, 'discountedTotal': 17.93, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/black-whisk/thumbnail.webp'}]",1575.87,1336.5,79,6,13
80,"[{'id': 41, 'title': 'Tissue Paper Box', 'price': 2.49, 'quantity': 2, 'total': 4.98, 'discountPercentage': 13.28, 'discountedTotal': 4.32, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/thumbnail.webp'}, {'id': 13, 'title': 'Bedside Table African Cherry', 'price': 299.99, 'quantity': 5, 'total': 1499.95, 'discountPercentage': 19.09, 'discountedTotal': 1213.61, 'thumbnail': 'https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/thumbnail.webp'}]",1504.93,1217.93,80,2,7
81,"[{'id': 2, 'title': 'Eyeshadow Palette with Mirror', 'price': 19.99, 'quantity': 3, 'total': 59.97, 'discountPercentage': 18.19, 'discountedTotal': 49.06, 'thumbnail': 'https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp'}, {'id': 36, 'title': 'Protein Powder', 'price': 19.99, 'quantity': 5, 'total': 99.94999999999999, 'discountPercentage': 7.59, 'discountedTotal': 92.36, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/protein-powder/thumbnail.webp'}, {'id': 18, 'title': 'Cat Food', 'price': 8.99, 'quantity': 2, 'total': 17.98, 'discountPercentage': 9.58, 'discountedTotal': 16.26, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp'}, {'id': 53, 'title': 'Chopping Board', 'price': 12.99, 'quantity': 5, 'total': 64.95, 'discountPercentage': 8.03, 'discountedTotal': 59.73, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/thumbnail.webp'}]",242.85,217.41,81,4,15
